appw51k.hosting.somedomain.net(Master)-10.100.68.84,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51k.hosting.somedomain.net(Master)-10.100.68.84,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw51l.hosting.somedomain.net-10.100.68.86,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51l.hosting.somedomain.net-10.100.68.86,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_28
appw51m.hosting.somedomain.net-10.100.68.88,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51m.hosting.somedomain.net-10.100.68.88,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw51n.hosting.somedomain.net-10.100.68.90,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51n.hosting.somedomain.net-10.100.68.90,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw51O.hosting.somedomain.net-10.100.68.92,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51O.hosting.somedomain.net-10.100.68.92,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw51p.hosting.somedomain.net-10.100.68.94,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw51p.hosting.somedomain.net-10.100.68.94,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1r3.hosting.somedomain.net-10.100.68.130,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1r3.hosting.somedomain.net-10.100.68.130,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1r4.hosting.somedomain.net-10.100.68.132,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1r4.hosting.somedomain.net-10.100.68.132,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1y1.hosting.somedomain.net-10.100.68.102,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1y1.hosting.somedomain.net-10.100.68.102,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1y2.hosting.somedomain.net-10.100.68.146,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1y2.hosting.somedomain.net-10.100.68.146,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1y3.hosting.somedomain.net-10.100.68.148,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1y3.hosting.somedomain.net-10.100.68.148,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw1y4.hosting.somedomain.net-10.100.68.150,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw1y4.hosting.somedomain.net-10.100.68.150,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0ua.hosting.somedomain.net-10.100.68.155,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0ua.hosting.somedomain.net-10.100.68.155,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0ub.hosting.somedomain.net-10.100.68.156,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0ub.hosting.somedomain.net-10.100.68.156,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0uc.hosting.somedomain.net-10.100.68.157,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0uc.hosting.somedomain.net-10.100.68.157,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0ud.hosting.somedomain.net-10.100.68.166,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0ud.hosting.somedomain.net-10.100.68.166,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0ue.hosting.somedomain.net-10.100.68.167,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0ue.hosting.somedomain.net-10.100.68.167,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw0uf.hosting.somedomain.net-10.100.68.168 ,APP Production Servers,Lorem ipsum salt,PROD,"Enterprise Data Center, NY, NY. ",appw0uf.hosting.somedomain.net-10.100.68.168 ,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw5g1.hosting.somedomain.net(Master)-10.102.19.126,APP Disaster Recovery Servers,Lorem ipsum salt,DR,"Enterprise Data Center, Dallas, TX",appw5g1.hosting.somedomain.net(Master)-10.102.19.126,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
appw5g2.hosting.somedomain.net-10.102.19.127,APP Disaster Recovery Servers,Lorem ipsum salt,DR,"Enterprise Data Center, Dallas, TX",appw5g2.hosting.somedomain.net-10.102.19.127,DL@domain.net,APP Admins,UID_3,UID_10,UID_5,UID_6
